Category,Product Name,Final Price,Original Price,Discount,Image URL
grocery,Uswatte Chirpy Chips Hot & Spicy 73g,Rs 300.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
grocery,Tong Garden Coated Peanuts Bbq Flv 45g,Rs 365.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121395.jpg
grocery,Mentos Marble Chewy Candy 19.8g,Rs 50.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121729.jpg
chilled_products,Prima Swiss Roll Chocolate 225g,Rs 585.00 / Unit,Rs 650.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic83331.jpg
chilled_products,Eazy Cheezy Cheddar Cheese Spread 260g,Rs 970.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120895.jpg
chilled_products,Richlife Cheese Swiss 200g,Rs 900.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic114283.jpg
chilled_products,Happy Cow Cheese Portion Paprika 140g,"Rs 1,161.00 / Unit","Rs 1,290.00",10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic2031.jpg
chilled_products,Kotmale Non-Fat Yoghurt 450G,Rs 370.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic2122.jpg
chilled_products,Buon Appetito Cheese Grated Parmesan 100G,"Rs 1,480.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121660.jpg
chilled_products,Pelwatte Butter Unsalted 200g,Rs 880.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121848.jpg
chilled_products,Pelwatte Garlic Butter 200g,Rs 950.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121849.jpg
chilled_products,Ambewela Processed Cheese 200g,"Rs 1,050.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120931.jpg
household_essentials,Atlas Double Ruled Exercise Book 80 Pages,Rs 80.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic15364.jpg
household_essentials,Nimex Paper Serviettes 2Ply 100S,Rs 525.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic60665.jpg
household_essentials,Atlas Cr Book Single 80Pgs,Rs 162.00 / Unit,Rs 180.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic98670.jpg
household_essentials,Keells Air Freshener Spray English Rose 475Ml,Rs 545.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic101593.jpg
household_essentials,Lux Soap Soft Glow 100g,Rs 170.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic111734.jpg
household_essentials,Flora Hygienic Wet Wipes 10S,Rs 265.00 / Unit,Rs 295.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic40313.jpg
household_essentials,Vaseline Lotion Healthy Bright White 400ml,"Rs 2,480.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic100806.jpg
household_essentials,Marvel Baby Wet Wipes 80S,Rs 675.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119031.jpg
household_essentials,Kids Joy Silicone Nipple Xl,Rs 260.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119035.jpg
household_essentials,Flora Toilet Rolls 2Ply 1S,Rs 295.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic5423.jpg
snacks,Keells Devilled Mixture 100g,Rs 250.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116128.jpg
snacks,Tong Garden Broad Beans Salted 40g,Rs 365.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic124664.jpg
snacks,4700Bc Belgium Choco Caramel Popcorn 60g,Rs 640.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic127040.jpg
snacks,4700Bc Gourmet Popcorn Nutty Tuxedo Chocolate 150g,"Rs 1,620.00 / Unit","Rs 1,800.00",10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic127042.jpg
snacks,Tuk Tuk Popcorn Mexican Cheese 65g,Rs 200.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126465.jpg
snacks,4700Bc Corn Chips Salt & Truffle 22g,Rs 202.00 / Unit,Rs 225.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125657.jpg
snacks,Scan Jumbo Peanuts Chillieâ  35G,Rs 160.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic122259.jpg
snacks,Rancrisp Potato Chips Lightly Sea Salted 60G,Rs 330.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121844.jpg
snacks,Magna Fried Dhal 100g,Rs 280.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
